1,1,0,0.000000e+000,0.000000e+000
5,5,0,1.500000e-007,0.000000e+000
10,10,0,3.000000e-007,0.000000e+000
15,15,0,4.500045e-007,0.000000e+000
20,20,1,0.000000e+000,0.000000e+000
25,25,0,0.000000e+000,7.500000e-007
30,30,0,0.000000e+000,0.000000e+000
35,35,0,1.050053e-006,0.000000e+000
40,40,0,1.200000e-006,1.280000e-006
45,45,0,0.000000e+000,1.440014e-006
50,50,0,1.500000e-006,0.000000e+000
55,55,0,1.650165e-006,1.760176e-006
60,60,0,1.800072e-006,0.000000e+000
65,65,0,1.950078e-006,0.000000e+000
70,70,0,4.340521e-006,0.000000e+000
75,75,1,2.250225e-006,2.400240e-006
80,80,0,4.960000e-006,0.000000e+000
85,85,0,5.270316e-006,0.000000e+000
90,90,0,5.580558e-006,0.000000e+000
95,95,0,2.850086e-006,3.040091e-006
100,100,0,6.200000e-006,3.200000e-006
105,105,0,3.150599e-006,3.360639e-006
110,110,0,3.300330e-006,3.520352e-006
115,115,1,3.450656e-006,3.680699e-006
120,120,0,7.441191e-006,0.000000e+000
125,125,1,7.750000e-006,0.000000e+000
130,130,0,1.196048e-005,0.000000e+000
135,135,0,8.371591e-006,0.000000e+000
140,140,1,8.681042e-006,0.000000e+000
145,145,0,8.990719e-006,0.000000e+000
150,150,1,9.300930e-006,0.000000e+000
155,155,0,9.612403e-006,4.651163e-006
160,160,1,1.472000e-005,0.000000e+000
165,165,3,1.023102e-005,0.000000e+000
170,170,0,1.054063e-005,5.100306e-006
175,175,0,1.610081e-005,0.000000e+000
180,180,0,1.116313e-005,5.401512e-006
185,185,1,1.702443e-005,0.000000e+000
190,190,2,1.748385e-005,0.000000e+000
195,195,1,1.209048e-005,5.850234e-006
200,200,3,1.840000e-005,0.000000e+000
205,205,0,1.271013e-005,6.150062e-006
210,210,1,1.302521e-005,6.302521e-006
215,215,1,1.333333e-005,6.451613e-006
220,220,2,1.364437e-005,6.602113e-006
225,225,1,2.070207e-005,7.200720e-006
230,230,2,2.116889e-005,7.363092e-006
235,235,1,2.162670e-005,0.000000e+000
240,240,2,2.208353e-005,0.000000e+000
245,245,3,2.254902e-005,7.843137e-006
250,250,3,2.300000e-005,0.000000e+000
255,255,5,2.346939e-005,8.163265e-006
260,260,1,2.392096e-005,8.320333e-006
265,265,2,2.439024e-005,0.000000e+000
270,270,3,3.349541e-005,0.000000e+000
275,275,2,2.530253e-005,8.800880e-006
280,280,4,3.473389e-005,0.000000e+000
285,285,1,3.534778e-005,0.000000e+000
290,290,1,3.596288e-005,0.000000e+000
295,295,4,2.715466e-005,9.445100e-006
300,300,1,2.761104e-005,9.603842e-006
305,305,2,2.806589e-005,9.762050e-006
310,310,1,2.853598e-005,9.925558e-006
315,315,2,3.906742e-005,0.000000e+000
320,320,1,3.969270e-005,0.000000e+000
325,325,5,4.031209e-005,1.040312e-005
330,330,5,4.092409e-005,0.000000e+000
335,335,2,4.155496e-005,0.000000e+000
340,340,2,4.217687e-005,0.000000e+000
345,345,2,4.278813e-005,1.104210e-005
350,350,6,5.462185e-005,0.000000e+000
355,355,5,4.403409e-005,1.136364e-005
360,360,4,4.466859e-005,0.000000e+000
365,365,3,5.697589e-005,0.000000e+000
370,370,3,4.589193e-005,1.184308e-005
375,375,3,4.651163e-005,1.200300e-005
380,380,5,5.931559e-005,0.000000e+000
385,385,5,6.009245e-005,0.000000e+000
390,390,1,6.084243e-005,1.170047e-005
395,395,5,6.166008e-005,0.000000e+000
400,400,3,6.240000e-005,0.000000e+000
405,405,2,6.320908e-005,0.000000e+000
410,410,4,6.398687e-005,1.230517e-005
415,415,4,6.478405e-005,0.000000e+000
420,420,6,6.554622e-005,1.260504e-005
425,425,9,6.632653e-005,0.000000e+000
430,430,3,6.712565e-005,0.000000e+000
435,435,4,6.788512e-005,0.000000e+000
440,440,7,8.186620e-005,0.000000e+000
445,445,6,6.945681e-005,0.000000e+000
450,450,14,8.370837e-005,0.000000e+000
455,455,8,7.103825e-005,1.366120e-005
460,460,3,7.182320e-005,1.381215e-005
465,465,8,7.255814e-005,1.395349e-005
470,470,2,8.748824e-005,0.000000e+000
475,475,6,8.840304e-005,0.000000e+000
480,480,5,8.933718e-005,0.000000e+000
485,485,8,7.572816e-005,1.456311e-005
490,490,9,9.117647e-005,0.000000e+000
495,495,10,9.207921e-005,1.584158e-005
500,500,7,7.800000e-005,1.500000e-005
505,505,11,9.393939e-005,0.000000e+000
510,510,7,9.489796e-005,0.000000e+000
515,515,8,8.041237e-005,1.649485e-005
520,520,7,9.677419e-005,0.000000e+000
525,525,8,9.768908e-005,1.680672e-005
530,530,10,9.862142e-005,0.000000e+000
535,535,5,9.957173e-005,1.713062e-005
540,540,9,1.005405e-004,0.000000e+000
545,545,6,1.014177e-004,1.744820e-005
550,550,6,1.023102e-004,1.760176e-005
555,555,10,1.033333e-004,1.777778e-005
560,560,12,1.042601e-004,1.793722e-005
565,565,7,1.052036e-004,0.000000e+000
570,570,14,1.242873e-004,0.000000e+000
575,575,10,1.254315e-004,0.000000e+000
580,580,13,1.264501e-004,1.856148e-005
585,585,9,1.088993e-004,1.873536e-005
590,590,13,1.286895e-004,0.000000e+000
595,595,8,1.297619e-004,0.000000e+000
600,600,11,1.308523e-004,1.920768e-005
605,605,7,1.125908e-004,0.000000e+000
610,610,17,1.330891e-004,0.000000e+000
615,615,11,1.340713e-004,1.968020e-005
620,620,7,1.352357e-004,1.985112e-005
625,625,8,1.362500e-004,0.000000e+000
630,630,16,1.374527e-004,2.017654e-005
